Wall time,Step,Value
1725354187.3688467,500,0.4500989019870758
1725354319.4247708,1000,0.37903326749801636
1725354452.3448968,1500,0.34645918011665344
1725354585.0191057,2000,0.32988855242729187
1725354717.5884724,2500,0.3206384778022766
1725354850.5400865,3000,0.3117932379245758
1725354984.7882924,3500,0.3103923201560974
1725355117.2289822,4000,0.30142199993133545
1725355250.468769,4500,0.2980075478553772
1725355383.3492599,5000,0.2955334484577179
1725355515.92066,5500,0.29792627692222595
1725355648.7603374,6000,0.2949707806110382
1725355781.6564257,6500,0.29489806294441223
1725355914.2221851,7000,0.293682724237442
1725356047.0513628,7500,0.29555201530456543
1725356179.860242,8000,0.2996087372303009
1725356312.3250303,8500,0.301484078168869
1725356445.009891,9000,0.3015074133872986
1725356577.913877,9500,0.3028068244457245
1725356710.9082537,10000,0.3115832507610321
1725356843.250441,10500,0.3095923066139221
1725356976.2351403,11000,0.3127681016921997
1725357109.039342,11500,0.3207511603832245
1725357241.6150544,12000,0.317657470703125
