Wall time,Step,Value
1725374009.0144303,500,1.0316352844238281
1725374143.634935,1000,0.9643019437789917
1725374277.702975,1500,0.9377264380455017
1725374411.2057152,2000,0.9254041314125061
1725374543.7132552,2500,0.9484660625457764
1725374676.3494523,3000,0.963301420211792
1725374809.5237894,3500,0.9981640577316284
1725374942.6105437,4000,0.9995941519737244
1725375075.56327,4500,1.0152751207351685
1725375210.5347996,5000,1.058504343032837
1725375345.3074014,5500,1.084097146987915
1725375480.0140052,6000,1.1108449697494507
1725375614.4758775,6500,1.123968243598938
1725375749.095437,7000,1.1491039991378784
