Wall time,Step,Value
1725365808.2679405,500,0.5297562479972839
1725365942.6535652,1000,0.4006648063659668
1725366074.6814134,1500,0.358309268951416
1725366222.8819034,2000,0.3377240002155304
1725366412.5879147,2500,0.3250354826450348
1725366542.6441123,3000,0.31436213850975037
1725366677.3597672,3500,0.31097859144210815
1725366815.6147764,4000,0.30298811197280884
1725366961.6332972,4500,0.29977017641067505
1725367109.54708,5000,0.2967562973499298
1725367249.0828767,5500,0.2971789538860321
1725367388.6165411,6000,0.29333558678627014
1725367531.1936269,6500,0.29673799872398376
1725367674.802648,7000,0.2965887486934662
1725367815.1490264,7500,0.2950957119464874
1725367961.9474814,8000,0.298125684261322
1725368107.587058,8500,0.2995340824127197
1725368253.755295,9000,0.30125656723976135
1725368397.1963153,9500,0.30047956109046936
1725368539.0999012,10000,0.3095797002315521
1725368675.1473408,10500,0.3099994659423828
1725368822.3285701,11000,0.3110141456127167
