                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.64711,                0.67983,                0.99173,                0.72782,                0.67544,                0.94108,                0.80299,                0.80052,                0.86642,                0.74284,                0.55573,                0.62913,                0.95163,                 0.5782,                0.59352,                0.86846,              0.0099772,              0.0099772,              0.0099772
                     26,                0.64585,                0.66766,                0.99008,                0.72716,                0.66678,                0.93884,                0.77731,                0.82475,                0.87931,                0.75952,                 0.5467,                0.60323,                0.96278,                0.55699,                0.57741,                0.87083,              0.0099762,              0.0099762,              0.0099762
                     27,                0.64623,                0.66695,                0.99539,                0.72529,                0.66915,                0.94331,                0.79858,                0.79603,                0.86404,                0.74268,                0.55463,                0.63812,                0.96929,                0.57554,                0.62559,                0.87972,              0.0099753,              0.0099753,              0.0099753
                     28,                0.64159,                0.65495,                0.99301,                0.72235,                0.65517,                  0.941,                0.79673,                0.79936,                0.86733,                0.74571,                0.55546,                0.63679,                0.99027,                 0.5897,                0.62916,                0.88682,              0.0099743,              0.0099743,              0.0099743
                     29,                0.64014,                  0.666,                 1.0013,                0.71594,                0.66144,                0.93933,                0.81306,                0.79562,                0.88487,                0.76316,                0.55015,                0.60953,                 0.9927,                0.56985,                0.59224,                0.88508,              0.0099733,              0.0099733,              0.0099733
                     30,                0.64211,                 0.6558,                 1.0008,                 0.7213,                0.65086,                0.94347,                0.82938,                0.78557,                0.88965,                0.76706,                0.54884,                 0.6052,                0.98484,                0.56049,                0.58909,                0.88062,              0.0099723,              0.0099723,              0.0099723
                     31,                0.64638,                0.65126,                 1.0062,                 0.7246,                0.65594,                 0.9478,                 0.7719,                 0.8079,                0.87309,                0.75002,                 0.5477,                0.60444,                0.98046,                0.57472,                0.60865,                0.88314,              0.0099713,              0.0099713,              0.0099713
                     32,                0.64397,                0.64628,                0.99645,                0.71926,                0.64503,                 0.9413,                0.81358,                0.79588,                 0.8769,                0.75873,                0.55043,                0.59266,                0.96695,                0.55998,                0.57072,                0.87466,              0.0099703,              0.0099703,              0.0099703
                     33,                 0.6399,                0.65032,                 1.0011,                0.72021,                0.64344,                0.94372,                0.80432,                0.79671,                0.88113,                 0.7614,                0.55137,                0.60673,                0.99149,                 0.5607,                0.58643,                0.87977,              0.0099693,              0.0099693,              0.0099693
                     34,                0.64509,                 0.6445,                 1.0018,                0.72273,                0.64666,                0.94577,                0.77349,                0.84003,                0.87821,                0.75884,                0.54896,                0.58564,                0.98822,                0.55319,                0.57087,                 0.8804,              0.0099683,              0.0099683,              0.0099683
